,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11
Vladimir Putin Bakhmut,2,0,2,5,5,10,14,32,64,160,218,414,767,1557,2324,3000,3637,2726,1750,1768,789,394,211,126,79,43,22,10,4,3,2
Zelensky Bakhmut ,1,1,0,0,0,0,7,4,17,26,47,66,175,316,369,383,369,197,122,118,48,15,23,13,2,2,1,2,0,0,0
Shoigu Bakhmut,0,0,0,0,0,0,1,2,0,0,6,11,38,51,112,62,91,66,38,58,25,16,8,3,2,2,1,0,0,0,0
Putin Beginning,7,7,32,34,83,119,364,592,665,1615,3326,6383,13263,25219,36258,36879,31323,22889,12713,10269,3850,1717,904,339,229,127,64,41,23,11,4
Zelensky Beginning,0,0,2,2,0,9,7,12,32,114,269,934,3338,5612,6849,5529,3493,2395,1222,1326,369,261,209,81,18,8,6,2,5,0,0
Shoigu Beginning,0,0,0,0,0,1,4,6,8,20,32,74,192,631,1292,658,403,325,125,104,56,34,16,12,9,0,0,1,1,1,0
Zaluzhny Beginning,0,0,0,0,0,0,0,0,0,0,0,0,11,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoigu Avdiivka,0,0,0,0,0,0,0,0,0,4,2,7,7,18,23,58,42,35,29,41,33,26,13,6,2,5,1,1,2,0,0
Putin Avdiivka,0,0,0,5,2,11,13,22,46,95,184,344,557,740,1054,1288,1144,1250,891,872,573,436,278,155,94,53,49,15,6,1,1
Zelensky Avdivka,0,0,0,0,0,0,0,0,0,0,1,4,19,36,39,46,60,82,24,23,14,10,5,4,3,1,0,1,1,0,0
Zelensky Grain Deal,1,0,0,0,2,7,3,9,12,26,24,63,95,240,406,485,551,343,201,127,84,57,34,266,35,2,2,1,1,0,0
Putin Grain Deal,0,0,0,2,1,6,14,31,44,101,153,273,599,1276,2163,4060,3773,2990,1980,1500,659,376,206,106,80,41,22,16,8,6,2
Shoigu Grain Deal,0,0,0,0,0,0,0,0,0,3,4,4,16,19,61,191,496,213,116,137,110,94,41,38,8,7,2,0,1,0,0
Putin Kherson Withdrawal,0,0,0,0,3,4,23,37,128,153,296,611,1239,2351,3751,4218,4944,3739,2106,1994,769,440,284,144,64,63,33,34,9,17,6
Zelensky Kherson Withdrawal,0,0,0,0,0,0,0,0,10,23,38,130,349,612,728,1069,924,565,324,132,91,21,45,8,8,0,2,1,1,2,0
Shoigu Kherson Withdrawal,0,0,0,0,4,2,7,10,7,16,29,55,108,189,352,358,343,178,86,67,37,20,14,2,3,1,0,0,0,0,0
Putin Ceasefire,0,0,1,3,8,16,33,84,177,293,505,905,1697,2852,4030,5008,5735,6864,6032,5026,2404,1119,565,325,225,77,35,20,19,8,9
Shoigu Ceasefire.,0,0,0,1,1,2,3,9,25,34,71,133,375,492,770,1164,1281,1596,1576,1206,540,274,133,76,55,19,8,5,2,0,0
